group	Patient	Patient	Patient	Patient	Patient	Patient	Patient	Patient	Patient	Patient	Patient	Patient	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control
clade_name	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20	S21	S22	S23
GGB9710_SGB15239	0.01674	0	0	0	0	0	0	0	0	0	0.31212	0.05007	0	0	0	0	0	0	0	0	0	0	0
Porphyromonas_pasteri	0	0	0	0	0	0	0	0	0	0	0.28465	0	0	0	0	0	0	0	0	0	0	0	0
GGB9712_SGB15244	0.84112	0	0.14744	0	0	0	0.11573	0.1783	0.01011	0	0.26399	0.00371	0	0	0	0	0	0	0	0	0.01759	0	0.04851
Eggerthella_lenta	0	0.0014	0	0	0	0	0	0.03063	0	0	0.25334	0	0	0	0	0	0	0	0	0	0	0	0.0043
Bilophila_wadsworthia	0.41736	0	0.13698	0.18167	0	0	0.09476	0.18582	0.02983	0	0.19838	0.12998	0.12147	0	0	0.18533	0.13673	0.17178	0.35778	0.11063	0.09319	0.20538	0.00674
Veillonella_atypica	0	0	0	0.00684	0	0.03595	0	0	0	0	0.17389	0	0	0.05926	0.10022	0	0	0	0	0	0.92296	0.14001	0
Ruminococcus_gnavus	0	0	0	0	0	0	0	0.12596	0	0	0.16396	0	0	0	0	0	0	0	0	0	0.05284	0	0.03856
GGB9635_SGB15101	0	0	0	0	0	0	0.48793	0	0	0	0.16126	0	0	0	0	0	0	0	0	0	0	0	0
Butyricimonas_virosa	0.26521	0	0	0	0	0	0	0	0	0	0.14906	0.16094	0	0	0	0	0	0	0	0	0	0.13456	0
Bacilli_unclassified_SGB6428	0	0	0	0	0	0	0.02775	0	0	0	0.13882	0	0	0	0	0	0	0	0	0	0	0	0
Alistipes_indistinctus	0.0197	0	0	0	0	0	0	0	0	0	0.12026	0	0.07506	0	0	0.88579	0.03219	0	0	0.02603	0.01374	0.0087	0.13607
Megasphaera_micronuciformis	0	0	0	0	7.11631	0	0	0	0	0	0.1006	0	0	0	0	0	0	0	0	0	0.03142	0	0
