Group	Patient	Patient	Patient	Patient	Patient	Patient	Patient	Patient	Patient	Patient	Patient	Patient	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control
clade_name	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20	S21	S22	S23
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae	0.77564	5.59441	0.63928	1.07162	0	0	0.92484	0.64772	0.00995	1.4592	1.79877	1.4943	0.71466	0	0.16226	1.85136	0.28327	0.6027	0.19105	0.93546	1.20099	1.48232	0.69211
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	0.20611	0.20603	0.0815	0.00017	0	0.05713	0.11286	0.56103	0.00947	0.85172	0.12613	0	0.10926	0.17705	0	0.04112	0	0.18711	0.56178	0.04378	0.04792	0.04699	0.37773
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae	3.5031	0	1.41533	1.19605	0	0	0	0	0.01593	0.63893	4.54498	1.1081	0.09863	0	0.36019	8.09009	1.07241	0.82324	0.25239	0.73418	0.90639	0	1.61787
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae	0.01187	0.06432	0.29893	0.09265	0	0.00943	0.16824	0.26034	0.00657	0.54725	0.06751	0	0	0.0176	0	0.20195	0.13629	0.76692	0.47245	0.12815	0.03912	0	0.28163
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae	0.14259	0	0.29425	1.15161	0	0	0.32321	1.48746	0	0.40457	0.62098	0.60018	1.87353	0	0.96037	3.5674	3.59504	1.07123	0.08206	0.00655	1.02455	1.46827	0.1595
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae	0.83664	0.51126	0.34464	2.63481	0	1.30218	0.13745	0.64135	0.09067	0.38639	0.02243	2.06128	5.20286	1.7636	0.03742	0.51971	2.09615	3.29184	2.574	0.74302	0.66254	4.8974	0.76861
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	0	0.07961	0.03432	0.20549	11.20517	0.03917	0.05589	0.09291	0.03678	0.31189	0.07815	0	0.01111	0.08537	0	0.3447	0.0181	0	0	0.02964	0.11258	0.0606	0.03853
k__Bacteria|p__Lentisphaerae|c__Lentisphaeria|o__Lentisphaeria_unclassified|f__Lentisphaeria_unclassified	0.33294	0	0	0	0	0	0.60961	0	0	0.30739	0.06121	0.00259	0.05434	0	0	0.41661	0.04833	0.56282	0	0.1983	0	0.79357	0.61839
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae	1.04505	0	0.37753	0.45946	0	0	0.48658	0.18582	0.04051	0.30369	0.38652	0.13035	0.12147	0	0	0.18533	0.13673	0.17178	0.35778	0.11063	0.10712	0.20538	1.07699
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriales_unclassified	0	0	0	0	0	0	0	0	0	0.10471	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacilli_unclassified|f__Bacilli_unclassified	0.57508	0	0	0	0	0	1.56808	0.17071	0.02041	0.08566	6.40114	0	0.54771	0.04821	0	0	0.85324	1.75939	0	0.23271	0	1.96107	0.38505
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	0.07145	0.06922	0.28945	0.09971	24.95474	0	1.62727	0.0373	0.05663	0.08555	0.06027	0	0.01218	0.43408	0	0.05615	0.28726	0.08438	1.34958	0.23141	0	0	0.41839
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae	1.97181	0	0	4.92399	0	0.28433	1.0873	0	0	0.0787	3.27625	0	0	0	0	1.04771	0.58911	0.68603	0.25982	0	0	0.093	27.27178
